conversation_id,tweet_id,created_at,username,full_text,like_count,retweet_count,reply_count,is_quote_status,user_followers,lang,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 10:30:24 +0000 2025,abzackerman,@tempodotco @grok mengapa terjadi hal seperti ini?,0,0,1,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 10:10:21 +0000 2025,nurhali20364872,"@SaifuddinSay @tempodotco Fakta mana yg anda kasih , sini kasih sama gw mau liat fakta yg lu omongin",0,0,1,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 10:01:20 +0000 2025,fajri_wiriana,@SyaikhuMochtar @tempodotco @KPK_RI @jokowi https://t.co/uvjyV4cZHU,0,0,0,0,0,qme,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 09:50:53 +0000 2025,SaifuddinSay,@nurhali20364872 @tempodotco Termul makanannya Dusta Mulyono. Dikasih FAKTA dia kepanasan.,1,0,1,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 09:48:07 +0000 2025,kurniawan190274,@kadalepakan @tempodotco ternyata sekelas TEMPO pun bisa diBERAKIN JOKODOK....hahahahahahahah,0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 09:41:13 +0000 2025,kurniawan190274,"@Didikjzie @tempodotco negara jangan diajak belajar terus bang....kapan pintarnya, udah 80 tahun merdeka ini bang udah tua banget, yg benar negara harus menghukum berat mreka yg membuat kebijakan ga jelas bikin bangkrut republik, dan itu harus hukuman mati jokodok dan mastermind nya jg kroninya.!",0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 09:10:44 +0000 2025,lukysantoso2020,"@tempodotco sepertinya IKN dibangun sesuai amanat UU yg disahkan dpr, kalo gak dilanjutkan pembangunannya apa gak melanggar UU pembentukan IKN",3,0,5,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 08:59:47 +0000 2025,hdsambodo,"@ViantyTJP @tempodotco Yang paling bertanggung jawab jokowi, gak ada yg lain",0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 08:59:22 +0000 2025,introkamvret,@ViantyTJP @tempodotco yang bertanggung jawab jelas si mulyono nabi palsu kurap,0,0,0,0,0,in,,,,,,,,,,
1.95E+18,1.95E+18,Mon Aug 11 08:58:36 +0000 2025,RajaMandiri70,@Dandhy_Laksono @tempodotco @jokowi Betul,0,0,0,0,0,en,,,,,,,,,,
